04.09.2023 15:15:51.046 [main] DEBUG  o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [/home/oleg/IdeaProjects/observationdata/target/classes/birding/observationdata/service/observation/ObservationServiceImpl.class]
04.09.2023 15:15:51.693 [main] INFO   o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
04.09.2023 15:15:51.701 [main] DEBUG  o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.AutoConfigurationPackages'
04.09.2023 15:15:51.708 [main] DEBUG  o.s.b.a.AutoConfigurationPackages - @EnableAutoConfiguration was declared on a class in the package 'birding.observationdata'. Automatic @Repository and @Entity scanning is enabled.
04.09.2023 15:15:51.709 [main] DEBUG  o.s.d.r.c.RepositoryConfigurationDelegate - Scanning for JPA repositories in packages birding.observationdata.
04.09.2023 15:15:51.721 [main] DEBUG  o.s.d.r.c.RepositoryComponentProvider - Identified candidate component class: file [/home/oleg/IdeaProjects/observationdata/target/classes/birding/observationdata/repository/BiotopeJpaRepository.class]
04.09.2023 15:15:51.722 [main] DEBUG  o.s.d.r.c.RepositoryComponentProvider - Identified candidate component class: file [/home/oleg/IdeaProjects/observationdata/target/classes/birding/observationdata/repository/NestJpaRepository.class]
04.09.2023 15:15:51.722 [main] DEBUG  o.s.d.r.c.RepositoryComponentProvider - Identified candidate component class: file [/home/oleg/IdeaProjects/observationdata/target/classes/birding/observationdata/repository/ObservationJpaRepository.class]
04.09.2023 15:15:51.758 [main] DEBUG  o.s.c.a.ClassPathScanningCandidateComponentProvider - Identified candidate component class: file [/home/oleg/IdeaProjects/observationdata/target/classes/birding/observationdata/mapper/NestMapperImpl.class]
04.09.2023 15:15:51.758 [main] DEBUG  o.s.c.a.ClassPathScanningCandidateComponentProvider - Identified candidate component class: file [/home/oleg/IdeaProjects/observationdata/target/classes/birding/observationdata/mapper/ObservationMapperImpl.class]
